Absolute Magnitude,Est Dia in KM(min),Epoch Date Close Approach,Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Mean Anomaly,Hazardous
21.6,0.1272198785,788947200000,6.1158343887,0.4194825299,5,0.0252819,4.634,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,0.808258932678493,57.25746987539545,264.8375332988031,1
21.3,0.1460679643,788947200000,18.1139850263,0.3830144627,3,0.186935,5.457,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,0.7181996160227876,313.0919748302692,173.7411119891742,0
20.3,0.2315021222,789552000000,7.5907111617,0.0509560159,0,0.0430579,4.557,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,0.950790956866954,248.4150381128607,292.8936537794408,1
27.4,0.0088014652,790156800000,11.1738744976,0.2853223297,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,0.9839015669723666,18.70770087172089,68.74100661777578,0
21.6,0.1272198785,790156800000,9.8408310539,0.4078321707,1,0.034798,5.154,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,0.9676866361064762,158.2635960713293,135.1421326756292,1
19.6,0.3195618867,790156800000,10.8088439585,0.3927847844,1,0.272213,4.724,2458000.5,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,0.5777997876790363,198.1459691510273,354.2373683433312,0
19.6,0.3195618867,790156800000,10.8088415879,0.392783196,1,0.272213,4.724,2458000.5,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,0.5777997314074783,198.1459598526758,354.237396160877,0
19.2,0.3841978911,790761600000,24.4218839949,0.1291791611,0,0.0987582,4.921,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,0.6809045288785588,288.3746511156045,186.7769322776995,0
17.8,0.7320739893,790761600000,17.373783837,0.3582829267,0,0.109354,5.386,2458000.5,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,0.8727046815850249,353.4223941040977,182.2364315309588,0
21.5,0.1332155667,790761600000,12.8996097219,0.1518057418,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,0.3930396461624395,253.7659371965322,119.8613823033982,1
22.4,0.0880146521,790761600000,22.4213663146,0.2010399884,6,0.000317965,7.033,2458000.5,0.4758194774081156,0.8138767249034949,23.18568668072357,117.1112240445536,0.4266183269852852,220.9403707579688,5.556806412851552,0
25.8,0.0183888672,790761600000,17.2746114639,0.4310155871,4,0.00186378,5.122,2458000.5,0.2048406780030454,1.240789317594743,13.7442332087249,161.933518574421,0.9866251925196996,13.92021256207252,46.68495944704712,0
25.0,0.02658,790761600000,12.1185099534,0.3598014121,6,0.0187898,6.384,2458000.5,0.326860711970322,0.930233744449396,8.333753551706272,20.49127086505545,0.626176880439848,128.46312989278,66.77697673554127,0
19.1,0.4023045798,792230400000,10.8299262895,0.4306559914,0,0.214004,4.862,2458000.5,0.1493579627014401,1.32292378805863,21.26523155355708,122.4368331936925,1.125334586264921,297.7298536948962,15.23187454710148,0
18.8,0.4619074603,792230400000,39.6053279147,0.3009631412,0,0.102643,3.242,2458000.5,0.8610933305709985,1.982738584288127,10.02263604097735,163.2099234123562,0.2754156130918373,199.3714586963143,37.51725738061909,0
25.2,0.0242412481,792230400000,25.2112885836,0.4959739922,6,0.0119773,6.89,2458000.5,0.4416943551013883,0.8375570081279065,19.76759210755226,243.614950945384,0.4676128055622026,41.6483224835708,96.60735473164922,0
20.0,0.2658,792835200000,3.0890039286,0.2388244997,0,0.240288,3.788,2458000.5,0.3775493600967308,1.958154259500409,5.660561156228656,112.1644170272148,1.218854371855342,34.30691815167334,82.35082442826075,0
21.0,0.1677084622,792835200000,20.0192419349,0.4780869949,1,0.0984179,6.469,2458000.5,0.4527922930841961,0.907864592986423,8.278695740027688,114.3798292883882,0.4967905021181501,7.392326563703367,36.16756328615697,0
22.3,0.0921626549,792835200000,8.5263208443,0.4612592433,3,0.0259126,5.372,2458000.5,0.2597323195329087,1.16651991571092,5.035044225594919,28.8520216092119,0.8635369922219897,271.6146744029957,179.6031185576674,0
22.7,0.0766575574,792835200000,7.9195240447,0.1072710745,4,0.0525422,6.519,2458000.5,0.1514158524079464,0.9137303163513598,5.860414922890069,177.8573023304907,0.7753770616300362,90.64125634459155,203.9869515937405,0
26.1,0.0160160338,792835200000,4.6554785934,0.2554883015,5,0.018587,6.36,2458000.5,0.1714328826365063,0.9391389588534732,11.94779476707688,229.0663217594457,0.7781396599409749,227.5499749797063,314.5094251287649,0
20.6,0.2016299194,792835200000,2.1643728488,0.4228501583,2,0.183818,3.753,2458000.5,0.4074703521368719,1.978471308901617,4.06169556322702,142.2597510835389,1.172302907970777,38.66044217724877,15.11056876015708,0
21.7,0.1214940408,793440000000,28.4189542612,0.0485413736,1,0.0128745,6.152,2453548.5,0.8684189074961081,0.9067337425159876,4.035074270183858,342.7842082321538,0.1193090164503963,322.3904957839119,303.9792986106828,1
23.9,0.04411182,793440000000,10.551519772,0.0197382264,3,0.0109543,4.767,2458000.5,0.3988200079942557,1.35791927755497,3.854342068985657,341.218636234598,0.8163539004249429,237.1733163416558,54.31490079465933,0
23.9,0.04411182,793440000000,17.5649076525,0.4340489593,1,0.0453154,6.298,2458000.5,0.3973810059711997,0.9403258403908948,11.6076647207195,195.3700872141465,0.5666582119956471,315.2418743196193,255.1877435084699,0
21.3,0.1460679643,793440000000,19.223165458,0.1020481263,4,0.0140066,5.149,2458000.5,0.2494248827236086,1.183993437388868,35.2402424959676,149.1565598893367,0.8886760131226273,55.21650962102305,141.0296511750646,1
26.989,0.0106354281,793440000000,7.1641480595,0.2115968709,7,0.0071428,5.874,2458000.5,0.3179061258474021,1.03436766129103,4.008314775490596,322.7144944711469,0.705535845388161,249.0178764867158,92.63701924370052,0
19.3,0.3669061375,794649600000,13.5763026447,0.3507449112,0,0.00132059,5.308,2458000.5,0.1902842554038815,1.189560559495507,5.883903317829792,251.5911063365942,0.96320591417408,211.4467739786354,154.0217068187274,1
22.6,0.0802703167,794649600000,11.4702980441,0.0517703658,0,0.0341962,5.089,2458000.5,0.4282526106821032,1.234937694057483,5.850410278034516,151.2892418885367,0.7060724025476296,292.6184516502227,178.6926558391438,0
23.8,0.046190746,794649600000,11.9306425303,0.0975441157,0,0.052677,7.48,2455882.5,0.3864587856542614,0.7629744336180587,20.83376792025673,352.9223651783215,0.4681162605167759,351.1788107856062,203.652258647551,0
28.6,0.0050647146,794649600000,9.8741431619,0.1466999837,6,0.00220111,5.349,2458000.5,0.2299595839786057,1.176188921427005,1.990548431564578,336.8735046974825,0.905713006375406,120.0623447551711,157.6102089911095,0
21.2,0.1529519353,794649600000,15.938707162,0.1729029027,6,0.0667857,4.469,2458000.5,0.4373989530511649,1.442414905197316,24.56842188077443,151.7319137192872,0.8115041357986146,97.07781956847644,317.5623087461238,0
22.8,0.0732073989,794649600000,11.7404134833,0.3331832833,6,0.0452308,6.708,2458000.5,0.513906570440738,0.8653553647152513,6.812692898480357,64.12627502627186,0.4206435570219426,292.8831880645742,140.1980046848551,0
23.8,0.046190746,794649600000,11.9306119236,0.0975437554,0,0.0515902,7.48,2456125.5,0.3864450668773289,0.7629535011587539,20.83340836762825,352.9209234711133,0.468113884379167,351.1779799498096,203.0327732060237,0
23.6,0.0506471459,795254400000,3.8380167643,0.0864847003,0,0.0231683,5.694,2458000.5,0.1755281002971447,1.085053919527081,1.499707987243189,143.9720934468935,0.8945964663125213,2.124647144481263,343.2780837648182,0
19.8,0.2914439045,795859200000,14.6506071817,0.49345027,0,0.00864628,5.679,2458000.5,0.6596701710312648,1.039069958449247,1.660280612530236,211.1661458545495,0.3536265012455829,111.2704877710451,339.0708464948791,1
21.7,0.1214940408,795859200000,7.5148753568,0.4991803786,0,0.072723,4.988,2458000.5,0.1806949354384842,1.298712853884236,2.883848267500705,42.7745945849694,1.064042018598494,283.6789058830172,282.4479213473536,0
20.1,0.2538370294,795859200000,14.3828211868,0.4209661835,0,0.286119,5.55,2458000.5,0.6085291129034922,1.067729565398203,19.76609421451883,228.3483095782694,0.4179850401456034,179.9055930928364,203.2544790124766,0
19.9,0.2783267681,795859200000,16.5382492667,0.3724623296,0,0.00632801,5.118,2458000.5,0.2001586683140727,1.225054256082759,23.76674096359197,157.1413506175398,0.9798490275727472,9.6180260171084,196.5243824380092,1
27.4,0.0088014652,795859200000,7.3391408326,0.071064889,7,0.00184403,5.435,2458000.5,0.2216354711934581,1.149622484484153,7.430785914533306,330.7831998198386,0.894825363440914,290.4836428426266,144.1965902347316,0
